entity_id,designacao,siglas,sioe_code,nif,categoria_id,ministerio,tutela,website,morada,distrito,estado,criado_em,alterado_em,notas
dgrsp-direcao-geral-de-reinsercao-e-servicos-prisionais,Direção-Geral de Reinserção e Serviços Prisionais,DGRSP,,,direcoes_gerais,Ministério da Justiça,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgc-direcao-geral-do-consumidor,Direção-Geral do Consumidor,DGC,,,direcoes_gerais,Ministério da Economia e da Coesão Territorial,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgert-direcao-geral-do-emprego-e-das-relacoes-de-trabalho,Direção-Geral do Emprego e das Relações de Trabalho,DGERT,,,direcoes_gerais,"Ministério do Trabalho, Solidariedade e Segurança Social",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dges-direcao-geral-do-ensino-superior,Direção-Geral do Ensino Superior,DGES,,,direcoes_gerais,"Ministério da Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dglab-direcao-geral-do-livro-dos-arquivos-e-das-bibliotecas,"Direção-Geral do Livro, dos Arquivos e das Bibliotecas",DGLAB,,,direcoes_gerais,Ministério da Cultura,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgo-direcao-geral-do-orcamento,Direção-Geral do Orçamento,DGO,,,direcoes_gerais,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgt-direcao-geral-do-territorio,Direção-Geral do Território,DGT,,,direcoes_gerais,Ministério da Economia e da Coesão Territorial,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgtf-direcao-geral-do-tesouro-e-financas,Direção-Geral do Tesouro e Finanças,DGTF,,,direcoes_gerais,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgaccp-direcao-geral-dos-assuntos-consulares-e-das-comunidad,Direção-Geral dos Assuntos Consulares e das Comunidades Portuguesas,DGACCP,,,direcoes_gerais,Ministério dos Negócios Estrangeiros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgae-direcao-geral-dos-assuntos-europeus,Direção-Geral dos Assuntos Europeus,DGAE,,,direcoes_gerais,Ministério dos Negócios Estrangeiros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
dgeste-direcao-geral-dos-estabelecimentos-escolares,Direção-Geral dos Estabelecimentos Escolares,DGeSTE,,,direcoes_gerais,"Ministério da Educação, Ciência e Inovação",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
eo-entidade-orcamental,Entidade Orçamental,EO,,,direcoes_gerais,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
entidade-do-tesouro-e-financas,Entidade do Tesouro e Finanças,,,,direcoes_gerais,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
gns-gabinete-nacional-de-seguranca,Gabinete Nacional de Segurança,GNS,,,direcoes_gerais,Presidência do Conselho de Ministros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
gep-gabinete-de-estrategia-e-planeamento,Gabinete de Estratégia e Planeamento,GEP,,,direcoes_gerais,"Ministério do Trabalho, Solidariedade e S. Social",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
gepac-gabinete-de-estrategia-planeamento-e-avaliacao-cultura,"Gabinete de Estratégia, Planeamento e Avaliação Culturais",GEPAC,,,direcoes_gerais,Ministério da Cultura,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
gpeari-gabinete-de-planeamento-estrategia-avaliacao-e-relaco,"Gabinete de Planeamento, Estratégia, Avaliação e Relações Internacionais",GPEARI,,,direcoes_gerais,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
gppag-gabinete-de-planeamento-politicas-e-administracao-gera,"Gabinete de Planeamento, Políticas e Administração Geral",GPPAG,,,direcoes_gerais,Ministério da Agricultura e Mar,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
gpp-gabinete-de-planeamento-politicas-e-administracao-geral,"Gabinete de Planeamento, Políticas e Administração Geral",GPP,,,direcoes_gerais,Ministério da Agricultura e Pescas,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
pj-policia-judiciaria,Polícia Judiciária,PJ,,,direcoes_gerais,Ministério da Justiça,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
pjm-policia-judiciaria-militar,Polícia Judiciária Militar,PJM,,,direcoes_gerais,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
ssap-servicos-sociais-da-administracao-publica,Serviços Sociais da Administração Pública,SSAP,,,direcoes_gerais,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
am-academia-militar,Academia Militar,AM,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
aan-autoridade-aeronautica-nacional,Autoridade Aeronáutica Nacional,AAN,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
adop-autoridade-antidopagem-de-portugal,Autoridade Antidopagem de Portugal,ADOP,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
amn-autoridade-maritima-nacional,Autoridade Marítima Nacional,AMN,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
anac-autoridade-nacional-da-aviacao-civil,Autoridade Nacional da Aviação Civil,ANAC,,,autoridades_reguladoras,Presidência do Conselho de Ministros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
anacom-autoridade-nacional-de-comunicacoes,Autoridade Nacional de Comunicações,ANACOM,,,autoridades_reguladoras,Presidência do Conselho de Ministros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
anepc-autoridade-nacional-de-emergencia-e-protecao-civil,Autoridade Nacional de Emergência e Proteção Civil,ANEPC,,,autoridades_reguladoras,Ministério da Administração Interna,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
ansr-autoridade-nacional-de-seguranca-rodoviaria,Autoridade Nacional de Segurança Rodoviária,ANSR,,,autoridades_reguladoras,Ministério da Administração Interna,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
adc-autoridade-da-concorrencia,Autoridade da Concorrência,AdC,,,autoridades_reguladoras,Ministério da Economia e Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
amt-autoridade-da-mobilidade-e-dos-transportes,Autoridade da Mobilidade e dos Transportes,AMT,,,autoridades_reguladoras,Presidência do Conselho de Ministros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
autoridade-de-gestao-do-programa-operacional-mar-2020,Autoridade de Gestão do Programa Operacional Mar 2020,,,,autoridades_reguladoras,Ministro da Agricultura e Pescas,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
asae-autoridade-de-seguranca-alimentar-e-economica,Autoridade de Segurança Alimentar e Económica,ASAE,,,autoridades_reguladoras,Ministério da Economia,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
asf-autoridade-de-supervisao-de-seguros-e-fundos-de-pensoes,Autoridade de Supervisão de Seguros e Fundos de Pensões,ASF,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
act-autoridade-para-as-condicoes-do-trabalho,Autoridade para as Condições do Trabalho,ACT,,,autoridades_reguladoras,"Ministério do Trabalho, Solidariedade e Segurança Social",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
ccm-comissao-cultural-de-marinha,Comissão Cultural de Marinha,CCM,,,autoridades_reguladoras,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
comissao-independente-para-a-descentralizacao,Comissão Independente para a Descentralização,,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cne-comissao-nacional-de-eleicoes,Comissão Nacional de Eleições,CNE,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cnpd-comissao-nacional-de-protecao-de-dados,Comissão Nacional de Proteção de Dados,CNPD,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
cada-comissao-de-acesso-aos-documentos-administrativos,Comissão de Acesso aos Documentos Administrativos,CADA,,,autoridades_reguladoras,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
